,name,company,year,price,kms_driven,fuel_type
805,Sweet Orange,Sweet Orange,2013,100,105.0,kg
806,Pineapple,Pineapple,2015,60,65.0,kg
807,Cucumber(Local),Cucumber(Local),2003,25,27.5,kg
808,Jack Fruit,Jack Fruit,2006,15,17.5,kg
809,Papaya(Nepali),Papaya(Nepali),2018,55,57.5,kg
810,Sugarcane,Sugarcane,2015,50,55.0,kg
811,Ginger,Ginger,2019,140,145.0,kg
812,Chilli Dry,Chilli Dry,2013,170,175.0,kg
813,Chilli Green,Chilli Green,2009,40,45.0,kg
814,Capsicum,Capsicum,2003,80,85.0,kg
815,Garlic Green,Garlic Green,2004,40,42.5,kg
816,Coriander Green,Coriander Green,2016,60,65.0,kg
817,Garlic Dry Chinese,Garlic Dry Chinese,2009,90,95.0,kg
818,Clive Dry,Clive Dry,2017,70,75.0,kg
819,Clive Green,Clive Green,2013,50,55.0,kg
820,Fish Fresh,Fish Fresh,2016,210,217.5,kg
821,Tomato Big(Nepali),Tomato Big(Nepali),2016,30,32.5,kg
822,Tomato Small(Local),Tomato Small(Local),2011,15,17.5,kg
823,Potato Red,Potato Red,2011,23,23.5,kg
824,Potato White,Potato White,2007,18,19.0,kg
825,Onion Dry (Indian),Onion Dry (Indian),2016,38,39.0,kg
826,Carrot(Local),Carrot(Local),2018,45,47.5,kg
827,Cabbage(Local),Cabbage(Local),2016,10,12.0,kg
828,Cauli Local,Cauli Local,2016,25,27.5,kg
829,Raddish White(Local),Raddish White(Local),2006,30,32.5,kg
830,Brinjal Long,Brinjal Long,2006,30,32.5,kg
831,Cow pea(Long),Cow pea(Long),2005,40,45.0,kg
832,French Bean(Local),French Bean(Local),2009,35,37.5,kg
833,Soyabean Green,Soyabean Green,2009,35,37.5,kg
834,Bitter Gourd,Bitter Gourd,2015,25,27.5,kg
835,Bottle Gourd,Bottle Gourd,2011,35,37.5,kg
836,Snake Gourd,Snake Gourd,2009,30,32.5,kg
837,Smooth Gourd,Smooth Gourd,2009,25,27.5,kg
838,Pumpkin,Pumpkin,2018,16,18.0,kg
839,Squash(Long),Squash(Long),2013,30,32.5,kg
840,Okara,Okara,2014,38,40.0,kg
841,Arum,Arum,2014,28,29.0,kg
